"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 07 19:56:27 EDT 2023","Wed Jun 07 19:56:32 EDT 2023","4497","ecom_test.tests.backend_tests.products","test_update_regular_price_updates_price","","","","test_update_sales_field_by_updating_sales_price","
    ""update the sale_price > 0, and verify that 'on_sale' is set to True""
    :return: on_sale= True
    "
"passed","Wed Jun 07 19:56:10 EDT 2023","Wed Jun 07 19:56:10 EDT 2023","2","ecom_test.tests.backend_tests.customers","test_create_customers","","","","test_create_customer_fail_when_no_password_is_provided",""
"passed","Wed Jun 07 19:56:44 EDT 2023","Wed Jun 07 19:56:54 EDT 2023","9659","ecom_test.tests.frontend_tests.my_account","test_register_new_users","TestRegisterNewUser","","","test_register_vaild_user",""
"passed","Wed Jun 07 19:56:19 EDT 2023","Wed Jun 07 19:56:23 EDT 2023","3923","ecom_test.tests.backend_tests.products","test_list_products_with_filter","TestListProductsWithFilter","","","test_list_products_with_filter_after",""
"broken","Wed Jun 07 19:56:01 EDT 2023","Wed Jun 07 19:56:06 EDT 2023","5042","ecom_test.tests.backend_tests.customers","test_create_customers","","","","test_create_customer_names_should_be_empty_string_if_not_provided",""
"passed","Wed Jun 07 19:56:14 EDT 2023","Wed Jun 07 19:56:17 EDT 2023","2582","ecom_test.tests.backend_tests.customers","test_get_all_customers","","","","test_get_all_customers",""
"passed","Wed Jun 07 19:56:33 EDT 2023","Wed Jun 07 19:56:41 EDT 2023","7483","ecom_test.tests.frontend_tests.my_account","test_login_negative","TestLoginNegative","","","test_login_none_existing_user",""
"passed","Wed Jun 07 19:56:23 EDT 2023","Wed Jun 07 19:56:27 EDT 2023","4288","ecom_test.tests.backend_tests.products","test_update_regular_price_updates_price","","","","test_update_regular_price_updates_price",""
"passed","Wed Jun 07 19:56:17 EDT 2023","Wed Jun 07 19:56:19 EDT 2023","1877","ecom_test.tests.backend_tests.products","test_create_smaple_product","","","","test_create_a_sample_product",""
"passed","Wed Jun 07 19:56:13 EDT 2023","Wed Jun 07 19:56:14 EDT 2023","1694","ecom_test.tests.backend_tests.customers","test_delete_customers","","","","test_delete_customer_with_force_flag",""
